Flipper Length (mm),Body Mass (g)
181.0,3750.0
186.0,3800.0
195.0,3250.0
193.0,3450.0
190.0,3650.0
181.0,3625.0
195.0,4675.0
193.0,3475.0
190.0,4250.0
186.0,3300.0
180.0,3700.0
182.0,3200.0
191.0,3800.0
198.0,4400.0
185.0,3700.0
195.0,3450.0
197.0,4500.0
184.0,3325.0
194.0,4200.0
174.0,3400.0
180.0,3600.0
189.0,3800.0
185.0,3950.0
180.0,3800.0
187.0,3800.0
183.0,3550.0
187.0,3200.0
172.0,3150.0
180.0,3950.0
178.0,3250.0
178.0,3900.0
188.0,3300.0
184.0,3900.0
195.0,3325.0
196.0,4150.0
190.0,3950.0
180.0,3550.0
181.0,3300.0
184.0,4650.0
182.0,3150.0
195.0,3900.0
186.0,3100.0
196.0,4400.0
185.0,3000.0
190.0,4600.0
182.0,3425.0
179.0,2975.0
190.0,3450.0
191.0,4150.0
186.0,3500.0
188.0,4300.0
190.0,3450.0
200.0,4050.0
187.0,2900.0
191.0,3700.0
186.0,3550.0
193.0,3800.0
181.0,2850.0
194.0,3750.0
185.0,3150.0
195.0,4400.0
185.0,3600.0
192.0,4050.0
184.0,2850.0
192.0,3950.0
195.0,3350.0
188.0,4100.0
190.0,3050.0
198.0,4450.0
190.0,3600.0
190.0,3900.0
196.0,3550.0
197.0,4150.0
190.0,3700.0
195.0,4250.0
191.0,3700.0
184.0,3900.0
187.0,3550.0
195.0,4000.0
189.0,3200.0
196.0,4700.0
187.0,3800.0
193.0,4200.0
191.0,3350.0
194.0,3550.0
190.0,3800.0
189.0,3500.0
189.0,3950.0
190.0,3600.0
202.0,3550.0
205.0,4300.0
185.0,3400.0
186.0,4450.0
187.0,3300.0
208.0,4300.0
190.0,3700.0
196.0,4350.0
178.0,2900.0
192.0,4100.0
192.0,3725.0
203.0,4725.0
183.0,3075.0
190.0,4250.0
193.0,2925.0
184.0,3550.0
199.0,3750.0
190.0,3900.0
181.0,3175.0
197.0,4775.0
198.0,3825.0
191.0,4600.0
193.0,3200.0
197.0,4275.0
191.0,3900.0
196.0,4075.0
188.0,2900.0
199.0,3775.0
189.0,3350.0
189.0,3325.0
187.0,3150.0
198.0,3500.0
176.0,3450.0
202.0,3875.0
186.0,3050.0
199.0,4000.0
191.0,3275.0
195.0,4300.0
191.0,3050.0
210.0,4000.0
190.0,3325.0
197.0,3500.0
193.0,3500.0
199.0,4475.0
187.0,3425.0
190.0,3900.0
191.0,3175.0
200.0,3975.0
185.0,3400.0
193.0,4250.0
193.0,3400.0
187.0,3475.0
188.0,3050.0
190.0,3725.0
192.0,3000.0
185.0,3650.0
190.0,4250.0
184.0,3475.0
195.0,3450.0
193.0,3750.0
187.0,3700.0
201.0,4000.0
211.0,4500.0
230.0,5700.0
210.0,4450.0
218.0,5700.0
215.0,5400.0
210.0,4550.0
211.0,4800.0
219.0,5200.0
209.0,4400.0
215.0,5150.0
214.0,4650.0
216.0,5550.0
214.0,4650.0
213.0,5850.0
210.0,4200.0
217.0,5850.0
210.0,4150.0
221.0,6300.0
209.0,4800.0
222.0,5350.0
218.0,5700.0
215.0,5000.0
213.0,4400.0
215.0,5050.0
215.0,5000.0
215.0,5100.0
216.0,4100.0
215.0,5650.0
210.0,4600.0
220.0,5550.0
222.0,5250.0
209.0,4700.0
207.0,5050.0
230.0,6050.0
220.0,5150.0
220.0,5400.0
213.0,4950.0
219.0,5250.0
208.0,4350.0
208.0,5350.0
208.0,3950.0
225.0,5700.0
210.0,4300.0
216.0,4750.0
222.0,5550.0
217.0,4900.0
210.0,4200.0
225.0,5400.0
213.0,5100.0
215.0,5300.0
210.0,4850.0
220.0,5300.0
210.0,4400.0
225.0,5000.0
217.0,4900.0
220.0,5050.0
208.0,4300.0
220.0,5000.0
208.0,4450.0
224.0,5550.0
208.0,4200.0
221.0,5300.0
214.0,4400.0
231.0,5650.0
219.0,4700.0
230.0,5700.0
214.0,4650.0
229.0,5800.0
220.0,4700.0
223.0,5550.0
216.0,4750.0
221.0,5000.0
221.0,5100.0
217.0,5200.0
216.0,4700.0
230.0,5800.0
209.0,4600.0
220.0,6000.0
215.0,4750.0
223.0,5950.0
212.0,4625.0
221.0,5450.0
212.0,4725.0
224.0,5350.0
212.0,4750.0
228.0,5600.0
218.0,4600.0
218.0,5300.0
212.0,4875.0
230.0,5550.0
218.0,4950.0
228.0,5400.0
212.0,4750.0
224.0,5650.0
214.0,4850.0
226.0,5200.0
216.0,4925.0
222.0,4875.0
203.0,4625.0
225.0,5250.0
219.0,4850.0
228.0,5600.0
215.0,4975.0
228.0,5500.0
216.0,4725.0
215.0,5500.0
210.0,4700.0
219.0,5500.0
208.0,4575.0
209.0,5500.0
216.0,5000.0
229.0,5950.0
213.0,4650.0
230.0,5500.0
217.0,4375.0
230.0,5850.0
217.0,4875.0
222.0,6000.0
214.0,4925.0
215.0,4850.0
222.0,5750.0
212.0,5200.0
213.0,5400.0
192.0,3500.0
196.0,3900.0
193.0,3650.0
188.0,3525.0
197.0,3725.0
198.0,3950.0
178.0,3250.0
197.0,3750.0
195.0,4150.0
198.0,3700.0
193.0,3800.0
194.0,3775.0
185.0,3700.0
201.0,4050.0
190.0,3575.0
201.0,4050.0
197.0,3300.0
181.0,3700.0
190.0,3450.0
195.0,4400.0
181.0,3600.0
191.0,3400.0
187.0,2900.0
193.0,3800.0
195.0,3300.0
197.0,4150.0
200.0,3400.0
200.0,3800.0
191.0,3700.0
205.0,4550.0
187.0,3200.0
201.0,4300.0
187.0,3350.0
203.0,4100.0
195.0,3600.0
199.0,3900.0
195.0,3850.0
210.0,4800.0
192.0,2700.0
205.0,4500.0
210.0,3950.0
187.0,3650.0
196.0,3550.0
196.0,3500.0
196.0,3675.0
201.0,4450.0
190.0,3400.0
212.0,4300.0
187.0,3250.0
198.0,3675.0
199.0,3325.0
201.0,3950.0
193.0,3600.0
203.0,4050.0
187.0,3350.0
197.0,3450.0
191.0,3250.0
203.0,4050.0
202.0,3800.0
194.0,3525.0
206.0,3950.0
189.0,3650.0
195.0,3650.0
207.0,4000.0
202.0,3400.0
193.0,3775.0
210.0,4100.0
198.0,3775.0
